[14:02:15][INFO][2160][main:449] Script execution started: 2023-12-01 14:02:15
[14:02:25][INFO][2160][connect_to_device:337] ===> Connecting to DCR-SPA3-Access (10.201.16.76)
[14:02:25][INFO][2160][_log:1893] Connected (version 1.99, client Cisco-1.25)
[14:02:26][INFO][2160][_log:1893] Auth banner: b'CCCCC\r\nUNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. \r\nYou must have explicit permission to access or configure this device. \r\nAll activities performed on this device may be logged, and violations\r\nof this policy may result in disciplinary action, and may be reported to \r\nlaw enforcement. There is no right to privacy on this device.\r\n'
[14:02:26][INFO][2160][_log:1893] Authentication (password) successful!
[14:02:26][INFO][2160][connect_to_device:340] <=== Received DCR-SPA3-Access (10.201.16.76)
[14:02:26][INFO][2160][process_device_data:379] Processing data on the network device ...
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f2f on GigabitEthernet1/36
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f77 on GigabitEthernet1/26
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f83 on GigabitEthernet2/6
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f85 on GigabitEthernet2/3
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f8e on GigabitEthernet1/28
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f9c on GigabitEthernet2/8
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fd8 on GigabitEthernet1/4
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7ff0 on GigabitEthernet1/6
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.801a on GigabitEthernet1/1
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.801e on GigabitEthernet1/7
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.802d on GigabitEthernet1/10
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8032 on GigabitEthernet1/38
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8233 on GigabitEthernet1/41
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82cf on GigabitEthernet1/44
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82d4 on GigabitEthernet1/48
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82dd on GigabitEthernet1/46
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82ec on GigabitEthernet1/14
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82f9 on GigabitEthernet1/20
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82fb on GigabitEthernet1/18
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.830a on GigabitEthernet1/22
[14:02:29][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.830c on GigabitEthernet1/24
[14:02:29][INFO][2160][send_command:421] Executing command: "show mac address-table vlan 390"
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7de5 on GigabitEthernet2/38
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e4c on GigabitEthernet2/10
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e5c on GigabitEthernet2/39
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e5e on GigabitEthernet2/48
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e60 on GigabitEthernet2/42
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e72 on GigabitEthernet2/15
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f1c on GigabitEthernet2/44
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fe9 on GigabitEthernet2/12
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8073 on GigabitEthernet2/32
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.80f8 on GigabitEthernet2/22
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8168 on GigabitEthernet2/18
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.818b on GigabitEthernet2/24
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.819a on GigabitEthernet2/14
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.81a7 on GigabitEthernet2/20
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.81a9 on GigabitEthernet2/28
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.81dd on GigabitEthernet2/26
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.81fa on GigabitEthernet2/30
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82ca on GigabitEthernet5/2
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82f2 on GigabitEthernet5/6
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82fa on GigabitEthernet2/34
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.830e on GigabitEthernet5/4
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8316 on GigabitEthernet2/36
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8321 on GigabitEthernet5/12
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8325 on GigabitEthernet5/39
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.832e on GigabitEthernet5/38
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8347 on GigabitEthernet5/8
[14:02:30][INFO][2160][send_command:421] Executing command: "show mac address-table vlan 210"
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0496 on GigabitEthernet1/18
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0540 on GigabitEthernet2/48
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.055e on GigabitEthernet2/10
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.05a4 on GigabitEthernet5/38
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.06bc on GigabitEthernet1/6
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.06c1 on GigabitEthernet2/6
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0897 on GigabitEthernet1/36
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.09a0 on GigabitEthernet5/12
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0a40 on GigabitEthernet1/41
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0b67 on GigabitEthernet5/8
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0c34 on GigabitEthernet2/26
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0dc4 on GigabitEthernet2/44
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0e1e on GigabitEthernet1/20
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0e69 on GigabitEthernet2/36
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0fef on GigabitEthernet1/22
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1148 on GigabitEthernet1/30
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1305 on GigabitEthernet2/28
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.131e on GigabitEthernet2/3
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.150d on GigabitEthernet1/38
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.15c6 on GigabitEthernet1/14
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1a12 on GigabitEthernet1/44
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1a8a on GigabitEthernet1/48
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1b3e on GigabitEthernet1/28
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1bb1 on GigabitEthernet2/22
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1c1a on GigabitEthernet1/24
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1c1f on GigabitEthernet1/32
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1cc4 on GigabitEthernet5/4
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1daf on GigabitEthernet5/2
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1e18 on GigabitEthernet2/8
[14:02:30][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.1e9f on GigabitEthernet2/39
